BlockID,use,kill,ANTin,ANTout,AVin,AVout,earliest,POSTin,POSTout,latest,Usedin,Usedout
0,"{}","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 (x < y)]","{}",[x],"{}","{}","{}","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]","{}","{}","{}"
1,"{}","[(x + y), 
 (y - x), 
 y, 
 (x < y)]",[x],"[x, 
 y, 
 (x < y)]","{}",[x],[x],"[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]","[(x + 10), 
 (y - x), 
 (x + 1)]","{}","{}"
2,"[x, 
 y, 
 (x < y)]","{}","[x, 
 y, 
 (x < y)]",[x],[x],"[x, 
 y, 
 (x < y)]","[y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 x, 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0)]","[x, 
 y, 
 (x < y)]","{}",[x]
3,"[(x % 2), 
 ((x % 2) = 0), 
 x]","{}","[(x % 2), 
 ((x % 2) = 0), 
 x, 
 (y - x)]","[x, 
 (y - x)]","[x, 
 y, 
 (x < y)]","[(x % 2), 
 ((x % 2) = 0), 
 x, 
 (y - x), 
 y, 
 (x < y)]","[(x % 2), 
 ((x % 2) = 0), 
 (y - x)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0)]","[(x + y), 
 (y - x)]","[(x % 2), 
 ((x % 2) = 0)]",[x],"{}"
4,"[x, 
 (y - x)]","[(x + y), 
 (y - x), 
 y, 
 (x < y)]","[x, 
 (y - x), 
 (x + 1)]","[(x + 1), 
 y]","{}","[x, 
 (x + 1)]","[x, 
 (y - x), 
 (x + 1)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 (x + 1), 
 y, 
 (x < y)]","[x, 
 (y - x)]","{}","{}"
5,[(x + 1)],"[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 (x < y)]","[(x + 1), 
 y]","[x, 
 y, 
 (x < y)]","[x, 
 (x + 1)]",[y],[y],"[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 (x + 1), 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 y, 
 (x < y)]","[(x + 10), 
 (x + 1)]","{}","{}"
6,"[x, 
 (y - x)]","[(x + y), 
 (y - x), 
 y, 
 (x < y)]","[(x + 10), 
 x, 
 (y - x)]","[(x + 10), 
 y]","{}","[(x + 10), 
 x]","[(x + 10), 
 x, 
 (y - x)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 (x + 1), 
 y, 
 (x < y)]","[x, 
 (y - x)]","{}","{}"
7,[(x + 10)],"[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 (x < y)]","[(x + 10), 
 y]","[x, 
 y, 
 (x < y)]","[(x + 10), 
 x]",[y],[y],"[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 (x + 1), 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 1), 
 y, 
 (x < y)]","[(x + 10), 
 (x + 1)]","{}","{}"
8,"{}","{}","[x, 
 y, 
 (x < y)]","[x, 
 y, 
 (x < y)]",[y],"[x, 
 y, 
 (x < y)]","[x, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 x, 
 (x < y), 
 y]","{}","{}","{}"
9,"{}","{}","[(x + y), 
 x, 
 y]","[(x + y), 
 x, 
 y]","[x, 
 y, 
 (x < y)]","[(x + y), 
 x, 
 y, 
 (x < y)]",[(x + y)],"[(x + y), 
 (x % 2), 
 ((x % 2) = 0)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0)]","{}","[(x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]","[(x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]"
10,"[(x + y), 
 x, 
 y]",[z],"[(x + y), 
 x, 
 y]","{}","[(x + y), 
 x, 
 y, 
 (x < y)]","[(x + y), 
 x, 
 y, 
 (x < y)]","{}","[(x + y), 
 (x % 2), 
 ((x % 2) = 0)]","[(x % 2), 
 ((x % 2) = 0)]",[(x + y)],"[(x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]","[(x + y), 
 (x % 2), 
 ((x % 2) = 0), 
 (x + 10), 
 x, 
 (y - x), 
 (x + 1), 
 y, 
 (x < y)]"
